text,label
I love this product,positive
The support team was helpful,positive
The delivery was very slow,negative
The price is too expensive,negative
The quality is amazing,positive
"It is okay, nothing special",neutral
The service was terrible,negative
Very satisfied with the product,positive
The package arrived damaged,negative
The experience was average,neutral
Customer support solved my issue quickly,positive
The app crashes constantly,negative
Shipping was acceptable,neutral
Excellent value for the money,positive
I will never buy this again,negative
